ObjectID,TrackingRegion,X,Y,RelX,RelY,Frame,MSec,CountingRegion,DataQuality,Time,Millisec,Indicator,NObjects,BlobType
5,Trach,891,794,141,-306,38,4102.027,Count,High,6/7/2022 11:48,826,0,1,One
1,Trach,1354,434,604,-666,39,4211.3762,Count,High,6/7/2022 11:48,935,0,1,One
2,Trach,1340,751,590,-349,39,4211.3762,Count,High,6/7/2022 11:48,935,0,1,One
3,Trach,426,770,-324,-330,39,4211.3762,Count,High,6/7/2022 11:48,935,0,1,One
4,Trach,706,764,-44,-336,39,4211.3762,Count,High,6/7/2022 11:48,935,0,1,One
5,Trach,890,794,140,-306,39,4211.3762,Count,High,6/7/2022 11:48,935,0,1,One
1,Trach,1349,444,599,-656,40,4320.9425,Count,High,6/7/2022 11:48,45,0,1,One
2,Trach,1343,755,593,-345,40,4320.9425,Count,High,6/7/2022 11:48,45,0,1,One
3,Trach,705,763,-45,-337,40,4320.9425,Count,High,6/7/2022 11:48,45,0,1,One
4,Trach,417,772,-333,-328,40,4320.9425,Count,High,6/7/2022 11:48,45,0,1,One
5,Trach,890,795,140,-305,40,4320.9425,Count,High,6/7/2022 11:48,45,0,1,One
1,Trach,1350,455,600,-645,41,4430.3202,Count,High,6/7/2022 11:48,154,0,1,One
2,Trach,1334,760,584,-340,41,4430.3202,Count,High,6/7/2022 11:48,154,0,1,One
3,Trach,705,762,-45,-338,41,4430.3202,Count,High,6/7/2022 11:48,154,0,1,One
4,Trach,404,776,-346,-324,41,4430.3202,Count,High,6/7/2022 11:48,154,0,1,One
5,Trach,890,794,140,-306,41,4430.3202,Count,High,6/7/2022 11:48,154,0,1,One
1,Trach,1349,467,599,-633,42,4539.6219,Count,High,6/7/2022 11:48,263,0,1,One
2,Trach,1338,764,588,-336,42,4539.6219,Count,High,6/7/2022 11:48,263,0,1,One
3,Trach,706,765,-44,-335,42,4539.6219,Count,High,6/7/2022 11:48,263,0,1,One
